tick;date;act;казна;церковь;эмигранты;биены;хлеб;ассигнат;война;город;деревня;провинции;чёрн_рынок;армия_финанс;армия_лоял;монета;ассигн_масса;эффекты;события
0;1789 H1;1;-4100.0;100.0;1.0;0.0;104.0;100.0;0.0;74.0;61.0;78.0;0.0;90.0;80.0;1000.0;0.0;;
1;1789 H2;1;-3800.0;70.0;2.0;500.0;108.0;92.6;0.0;54.2;55.0;66.0;0.0;80.0;75.0;1000.0;400.0;;Шок: штурм Бастилии / Декрет: отмена феодальных привилегий / Декрет: Декларация прав человека и гражданина / Шок: поход на Версаль (король переезжает в Париж) / Декрет: национализация имуществ духовенства / Декрет: первая эмиссия ассигнат (400 млн)
2;1790 H1;1;-3500.0;50.0;3.0;800.0;112.0;86.1;0.0;60.4;66.0;54.0;0.0;70.0;75.0;990.0;800.0;;Декрет: гражданская конституция духовенства / Декрет: эмиссия ассигнат (400 млн)
3;1790 H2;1;-2800.0;50.0;4.0;800.0;116.0;75.4;0.0;59.4;62.0;57.0;0.0;60.0;75.0;980.0;1600.0;;Шок: Праздник Федерации (затишье единства) / Декрет: эмиссия ассигнат (800 млн)
4;1791 H1;1;-2500.0;50.0;10.0;800.0;120.0;70.8;0.0;82.1;63.0;45.0;0.0;50.0;65.0;970.0;2000.0;;Шок: бегство короля в Варенн / Декрет: эмиссия ассигнат (400 млн)
5;1791 H2;1;-2600.0;50.0;11.0;800.0;124.0;70.6;5.0;65.5;64.0;43.0;0.0;40.0;65.0;960.0;2000.0;;Декрет: закон Ле Шапелье / Закрытие Учредительного собрания / ⚠ ВОССТАНИЕ В ПАРИЖЕ (#1)
6;1792 H1;2;-2450.0;50.0;12.0;800.0;128.0;66.4;35.0;68.4;65.0;41.0;0.0;30.0;60.0;950.0;2400.0;;Декрет: объявление войны Австрии / Декрет: эмиссия ассигнат (400 млн)
7;1792 H2;2;-1900.0;50.0;13.0;800.0;137.0;58.7;45.0;83.6;66.0;39.0;0.0;10.0;60.0;910.0;3200.0;;Декрет: эмиссия ассигнат (800 млн) / Шок: военное поражение
8;1793 H1;2;-1150.0;50.0;24.0;800.0;133.0;51.7;55.0;84.7;82.0;27.0;0.0;0.0;50.0;900.0;4200.0;requisition|commissars|federalism;Шок: казнь Людовика XVI / Декрет: безусловная отмена сеньориальных прав / Включён эффект: requisition / Декрет: реквизиция зерна / Включён эффект: commissars / Декрет: представители в миссию (комиссары) / Декрет: эмиссия ассигнат (1 млрд) / Включён эффект: federalism / ⚠ ФЕДЕРАЛИСТСКИЙ КРИЗИС (провинции уходят из-под Парижа)
9;1793 H2;2;-650.0;50.0;0.0;1200.0;97;46.7;95.0;55.5;78.0;0.0;35.0;25.0;48.0;910.0;5200.0;requisition|commissars|federalism|maximum|terror|vendee;Декрет: levée en masse (массовый набор) / Включён эффект: maximum / Декрет: Закон о всеобщем максимуме / Включён эффект: terror / Декрет: закон о подозрительных (Террор) / Декрет: конфискация имуществ эмигрантов / Декрет: эмиссия ассигнат (1 млрд) / Шок: военная победа / Включён эффект: vendee / ⚠ ВАНДЕЙСКИЙ МЯТЕЖ (#1)
10;1794 H1;3;-200.0;50.0;1.0;1200.0;103;42.6;95.0;65.1;88.0;0.0;40.0;12.0;46.0;920.0;6200.0;requisition|commissars|federalism|maximum|vendee;Снят эффект: terror / Шок: 9 термидора (падение Робеспьера) / Конец Террора (термидор) / Декрет: эмиссия ассигнат (1 млрд) / Шок: военная победа
11;1794 H2;3;250.0;50.0;2.0;1200.0;162;38.7;95.0;91.3;89.0;0.0;20.0;0.0;44.0;910.0;7200.0;commissars|federalism|vendee;Снят эффект: maximum / Декрет: отмена Максимума / Снят эффект: requisition / Реквизиции зерна прекращены / Декрет: эмиссия ассигнат (1 млрд)
12;1795 H1;4;700.0;50.0;3.0;1200.0;201;35.4;100.0;90.0;95.0;0.0;20.0;0.0;42.0;900.0;8200.0;commissars|federalism|vendee;Шок: неурожай / Декрет: эмиссия ассигнат (1 млрд) / ⚠ ВОССТАНИЕ В ПАРИЖЕ (#2)
13;1795 H2;4;950.0;50.0;4.0;1200.0;210;32.6;100.0;100.7;96.0;0.0;20.0;0.0;45.0;890.0;9200.0;commissars|federalism|vendee;Шок: восстание 13 вандемьера подавлено картечью / Декрет: эмиссия ассигнат (1 млрд)
14;1796 H1;4;350.0;50.0;5.0;1200.0;219;32.8;105.0;88.1;97.0;0.0;20.0;17.0;33.0;900.0;9200.0;commissars|federalism|vendee;Шок: военная победа / Контрибуции: +200 казна, +20 армия_финанс / ⚠ ВОССТАНИЕ В ПАРИЖЕ (#3)
15;1796 H2;4;-200.0;50.0;6.0;1200.0;228;33.1;105.0;105.0;83.0;3.0;20.0;34.0;26.0;910.0;9200.0;commissars|federalism;Шок: военная победа / Контрибуции: +200 казна, +20 армия_финанс / Снят эффект: vendee / Вандея подавлена военным путём
16;1797 H1;4;3250.0;50.0;7.0;1200.0;237;27.6;110.0;98.6;84.0;0.0;20.0;39.0;0.0;700.0;9200.0;commissars|federalism;Декрет: банкротство 2/3 (списание долга) / Контрибуции: +200 казна, +20 армия_финанс / ⚠ ВОССТАНИЕ В ПАРИЖЕ (#4) / ⚠ ПЕРЕВОРОТ АРМИИ (генерал берёт власть)
17;1797 H2;4;2750.0;50.0;8.0;1200.0;246;27.3;110.0;110.0;85.0;0.0;20.0;54.0;0.0;690.0;9200.0;commissars|federalism;Контрибуции: +200 казна, +20 армия_финанс
18;1798 H1;4;2200.0;50.0;9.0;1200.0;255;26.1;125.0;109.7;86.0;0.0;20.0;59.0;0.0;650.0;9200.0;commissars|federalism;Шок: военное поражение / Контрибуции: +200 казна, +20 армия_финанс / ⚠ ВОССТАНИЕ В ПАРИЖЕ (#5)
19;1798 H2;4;1500.0;50.0;10.0;1200.0;264;24.9;135.0;110.0;87.0;0.0;20.0;44.0;0.0;610.0;9200.0;commissars|federalism;Шок: военное поражение
20;1799 H1;4;750.0;50.0;11.0;1200.0;273;24.6;140.0;105.7;88.0;0.0;20.0;39.0;0.0;600.0;9200.0;commissars|federalism;Декрет: переворот 18 брюмера / ⚠ ВОССТАНИЕ В ПАРИЖЕ (#6)
